Origil raw file me,Converted file me,Re-annotated raw file me (userme_date_PI_Country_sampletag),NumReplicates,Organism,In Vivo or In vitro Process,Tissue type,Cell type,Culture conditions,Disease state,Comments,MHC class I or II,MHC Allele,PMID,SYSMHCID,Peptide,isolation method,antibody,"sample amount (cell number, weight of tissue)",fraction of sample measured,mass spectrometer,LC system,iRT peptides ,Acquisition mode,Fragmentation method,Gradient ,Gradient lenght (min),Flow rate,Column,Statiory Phase,Gradient details
SYSMHC00001_C1R3_Madrid_B3901_iRT_rep1.wiff,SYSMHC00001_C1R3_Madrid_B3901_iRT_rep1.mzXML,SYSMHC00001_marcillam_160207_marcilla_Spain_C1R_B39,1,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B39,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R3_Madrid_B3901_iRT_rep2.wiff,SYSMHC00001_C1R3_Madrid_B3901_iRT_rep2.mzXML,SYSMHC00001_marcillam_160207_marcilla_Spain_C1R_B39,2,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B39,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R4_Madrid_B4002_iRT_rep1.wiff,SYSMHC00001_C1R4_Madrid_B4002_iRT_rep1.mzXML,SYSMHC00001_marcillam_160207_marcilla_Spain_C1R_B40,1,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B40,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R4_Madrid_B4002_iRT_rep2.wiff,SYSMHC00001_C1R4_Madrid_B4002_iRT_rep2.mzXML,SYSMHC00001_marcillam_160207_marcilla_Spain_C1R_B40,2,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B40,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,,2-32% ACN,120,,,,
SYSMHC00001_Jurkat_Oxford_TT0236a_DDA_MHC-I_Jurkat_iRT.wiff,SYSMHC00001_Jurkat_Oxford_TT0236a_DDA_MHC-I_Jurkat_iRT.mzXML,SYSMHC00001_ternetten_160207_Ternette_UK_Jurkat,1,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"A03,B07,B35",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,Ultimate3000 RSLCno,yes,DDA,,2-32% ACN,120,,,,
SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep1_msms14.RAW,SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep1_msms14_c.mzXML,SYSMHC00001_Kowalewskid_160207_Rammensee_Germany_JY,1,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"A02,B07,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Orbitrap XL,Ultimate3000 RSLCno,no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep2_msms15.RAW,SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep2_msms15_c.mzXML,SYSMHC00001_Kowalewskid_160207_Rammensee_Germany_JY,2,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"A02,B07,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Orbitrap XL,Ultimate3000 RSLCno,no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep3_msms16.RAW,SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep3_msms16_c.mzXML,SYSMHC00001_Kowalewskid_160207_Rammensee_Germany_JY,3,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"A02,B07,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Orbitrap XL,Ultimate3000 RSLCno,no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep4_msms17.RAW,SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep4_msms17_c.mzXML,SYSMHC00001_Kowalewskid_160207_Rammensee_Germany_JY,4,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"A02,B07,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Orbitrap XL,Ultimate3000 RSLCno,no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep5_msms18.RAW,SYSMHC00001_JY_EBV1_Tubingen_120706_AR_CoOpNO_JY_Normal_W_10_Rep5_msms18_c.mzXML,SYSMHC00001_Kowalewskid_160207_Rammensee_Germany_JY,5,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"A02,B07,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Orbitrap XL,Ultimate3000 RSLCno,no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_JY_EBV2_Zurich_carone_L130209_001.wiff,SYSMHC00001_JY_EBV2_Zurich_carone_L130209_001.mzXML,SYSMHC00001_carone_160207_Aebersold_Switzerland_JY,1,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"A02,B07,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,,2-32% ACN,120,,,,
SYSMHC00001_JY_EBV2_Zurich_carone_L130326_001_pMHC_1ug.wiff,SYSMHC00001_JY_EBV2_Zurich_carone_L130326_001_pMHC_1ug.mzXML,SYSMHC00001_carone_160207_Aebersold_Switzerland_JY,2,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"A02,B07,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,,2-32% ACN,120,,,,
SYSMHC00001_JY_EBV2_Zurich_carone_L130326_003_pMHC_1-5ug.wiff,SYSMHC00001_JY_EBV2_Zurich_carone_L130326_003_pMHC_1-5ug.mzXML,SYSMHC00001_carone_160207_Aebersold_Switzerland_JY,3,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"A02,B07,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_001.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_001.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_1,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_002.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_002.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_2,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_003.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_003.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_3,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_004.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_004.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_4,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_005.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_005.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_5,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_006.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_006.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_6,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_007.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_007.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_7,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_008.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_008.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_8,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_009.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_009.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_9,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_010.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_010.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_10,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_011.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_011.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_11,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_012.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_012.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_12,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_013.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_013.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_13,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_014.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_014.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_14,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_015.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_015.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_15,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_016.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_016.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_16,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_017.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_017.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_17,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_018.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_018.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_18,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_019.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_019.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_19,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_020.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_020.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_20,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_021.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_021.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_21,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_022.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_022.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_22,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb1_LaJolla_carone_L130911_023.wiff,SYSMHC00001_Mtb1_LaJolla_carone_L130911_023.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_23,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_238.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_238_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_238,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_241.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_241_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_241,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_244.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_244_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_244,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_247.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_247_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_247,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_250.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_250_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_250,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_253.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_253_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_253,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_256.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_256_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_256,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_259.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_259_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_259,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_262.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_262_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_262,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_265.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_265_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_265,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_268.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_268_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_268,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
SYSMHC00001_Mtb2_LaJolla_carone_C1309_271.raw,SYSMHC00001_Mtb2_LaJolla_carone_C1309_271_c.mzXML,SYSMHC00001_carone_161024_aebersold_switzerland_Mtb_271,1,Mycobacterium tuberculosis,,,,,,predicted to bind class II,class II,"DR,DP,DQ",26154972,SYSMHC00001,synthetic,,,,,Orbitrap ELITE,EASY-nLC 1000,yes,DDA,CID,2-32% ACN,120,,,,
